start,end,relation
"""羊祜""","""晋臣""","策略建议,影响力"
"""李堪""","""顾问角色""","建议提供者, 政策制定者"
"""杜预""","""晋主""","领导与被领导关系,战略实施"
"""杜预""","""晋镇南大将军""","指挥关系,胜利与征服"
"""张辽""","""吕布""",合作与对抗关系
"""张辽""","""曹操""","决策制定,忠诚测试"
"""郝萌""","""张飞""","冲突,战斗"" <|""10"">"
"""华佗""","""医术""","medical skill, trust and cooperation"
"""华佗""","""陈登""","患者关系,医患互动"
"""华佗""","""曹操""",9
"""蒲阪津""","""曹操""",8
"""周泰""","""陆逊""","collaboration, strategy discussion"
"""丁斐""","""策略""",7
"""丁斐""","""曹操""","策略提供,联盟关系"
"""田氏""","""内部援助""","insider assistance, local politics"
"""高顺""","""玄德""","冲突,竞争"
"""徐晃""","""司马懿""","command, leadership"
"""徐晃""","""曹操""","领导与效忠, 军事同盟""<SEP>7<SEP>9"
"""徐晃""","""关公""",9
"""徐晃""","""吕蒙""",7
"""徐晃""","""夏侯渊""","队伍竞争,锦袍争夺"
"""曹兵""","""陈登""","情报传递, 动员攻击"
"""曹兵""","""小沛城上的曹兵旗号""",占领与标识
"""糜竺""","""护送各官家眷""",7
"""孙乾""","""关公""",8
"""孙乾""","""张飞""","information relay, mission instruction"
"""孙乾""","""玄德(刘备)"".""","合作与伙伴关系,"
"""孙乾""","""曹操""","战略建议,帮助关系"
"""孙乾""","""调拨船只""",8
"""关、张二公""","""玄德""",8
"""操""","""刘玄德领徐州牧""",9
"""张松""","""曹操""","批评, 警告"
"""张松""","""刘备""","strategic alliance, influential advisor"
"""李典""","""戈定和后槽""",8
"""吴兵""","""吕蒙""","commanding authority, ethical guidelines"
"""吴兵""","""孙权""","leadership, military strength"
"""吴兵""","""外部支援""",8
"""薛兰、李封""","""曹操""",8
"""杨奉""","""与""",杨奉和董承一起讨论并决定保护皇帝，展示了他们在困难时期的合作关系以及他们为皇帝提供的帮助。
"""杨奉""","""韩暹""",盟友关系
"""平谏""","""曹操""",9
"""周善""","""孙权""","task delegation, leadership"
"""周善""","""赵云""","conflict, strategic mission"
"""申耽""","""太守""",职位描述
"""濡须坞""","""曹操""","build defenses against potential enemies, strategic response"
"""贾诩""","""曹操""","leadership, strategy""<SEP>9"
"""贾诩""","""智谋者""","策略规划者, 隐蔽行动的执行人"
"""泠苞""","""魏延""","冲突, 军事对峙"
"""张任""","""孔明""","策略制定, 胜利决策"
"""孫權""","""呂蒙""",謝賞、獎勵
"""孫權""","""張昭""",計策提供者、危機意識
"""孫權""","""關公""",哀悼、追贈
"""孫權""","""魯肅""",合作、策略交流
"""劉備""","""曹操""",對立、競爭
"""关兴""","""孔明""",8
"""关兴""","""魏延""",6
"""关兴""","""射箭技巧""",技艺与应变
"""董昭""","""提供策略给曹操""","政治顾问关系,决策支持"
"""建始殿""","""苏越""",8
"""荀攸""","""曹操""","战略联盟, 决策合作""<SEP>""战略顾问, 决策支持"
"""刘表""","""孙权""","权力转移,授权)"
"""刘表""","""江夏八俊""",交友关系，影响与权力
"""刘表""","""赵云""","效忠关系,"
"""司马昭""","""COMMANDED""","military leadership, strategic command"
"""司马昭""","""邓艾""",疑忌与应对
"""司马昭""","""策略制定者""","魏国,战略指导"
"""司马昭""","""姜维""","战略冲突,军事行动"
"""司马昭""","""司马懿""",6
"""鲁肃""","""周瑜""",">决策参与,信任建立)<SEP>""collaboration, strategic planning""<SEP>""friendship, collaboration""<SEP>""协力、咨询""<SEP>7"
"""鲁肃""","""孙权""","high respect, discussion""<SEP>""建议执行, 支持决策""<SEP>""忠诚服务,政治顾问""<SEP>communication, alliance consideration""|8"
"""鲁肃""","""东吴""","service, military defense"
"""鲁肃""","""孔明""","mediator, implementation bridge""<SEP>""建议交流, 说服策略""<SEP>""观点对立,策略讨论""<SEP>strategy discussion, collaboration suggestion""|9"
"""鲁肃""","""组织(二十只轻快船)""",安排、支援
"""鲁肃""","""刘备""","negotiation, alliance"
"""鲁肃""","""曹操""","多方联系, 人物评价"
"""司马懿""","""诸葛亮""","strategic interaction, information exchange""<SEP>""密谋,分歧"
"""司马懿""","""谏言""",7
"""司马懿""","""孔明""","strategic rivalry, military confrontation""<SEP>""战略对抗""<SEP>""战略对抗,战术策略""<SEP>""智慧对抗,策略解析""| 9<SEP>""联盟-竞争关系,策略对峙""<SEP>""误导与谋略""<SEP>9"
"""司马懿""","""李辅、邓贤""","support, coordination"
"""司马懿""","""张郃""",7<SEP>8
"""司马懿""","""斜谷大军""","command, strategy execution"
"""司马懿""","""姜维""","赏识与信任""，评分9<SEP>""高级将领间的合作与对话，军事指挥链"
"""司马懿""","""董寻、张茂""",6
"""司马懿""","""街亭围困""",10
"""司马懿""","""策略规划者""","战略规划,决策影响力"
"""赵云""","""夏侯惇""","combat, strategic interaction""<SEP>""战略制定者与防御指挥者的关系, 战略对峙"
"""赵云""","""夏侯渊""","个人对峙与战略互动关系, 军事冲突"
"""赵云""","""孙资 (SUN ZIXIAN)""","strategic advice, military capability"
"""赵云""","""单骑冲入绍军""","single rider charge, skill"
"""赵云""","""盟友关系""","联盟, 团队合作"
"""赵云""","""淳于导""&""夏侯恩""","combat victory, weapon acquisition"
"""赵云""","""刘备""","忠诚伙伴,战略执行者"
"""赵云""","""孔明""","command, strategy""<SEP>""command, successful strategy""<SEP>""leadership, strategic guidance"
"""赵云""","""玄德""",保护、忠诚关系
"""赵云""","""关公""/""GUAN YU""","legacy preservation, defense strategy"
"""赵云""","""张飞""","revenge, alignment of interests""<SEP>""teamwork, protection"
"""赵云""","""先锋将领""<|""赵云作为玄德的先锋，执行特定任务和关键战略部署。",9
"""赵云""","""追杀""","勇猛抵抗, 战斗"" <|"
"""赵云""","""直接战斗与保护孔明""","直接冲突, 保护行动"
"""夏侯渊""","""与曹操""",指挥与被指挥
"""夏侯渊""","""曹操""","军事指挥,战略制定""<SEP>""领导与被领导关系,冲突"
"""孟获""","""金环三结元帅、董荼那、阿会喃""","领导与被领导, 军事指挥链"
"""孟获""","""孔明""","谈判, 和平解决方案"" <|<SEP>9"
"""孟获""","""董荼那和阿会喃""","谈判, 放生"" <|"
"""孟获""","""决策者与策略思考""","领导, 防御策略"
"""诸葛亮""","""安排策略""","strategic planning, control"
"""诸葛亮""","""蒋琬、费袆、董厥、樊建""",9
"""诸葛亮""","""策略与决策""",智慧、领导力、预判
"""诸葛亮""","""周瑜""","求助、合作""<SEP>""领导与被领导的关系;担忧与应对策略的考虑"
"""诸葛亮""","""刘备""",联盟与合作
"""诸葛亮""","""玄德""",9
"""诸葛亮""","""姜维""",领导者与顾问关系，策略制定
"""诸葛亮""","""孔明""","合作、联合行动""<SEP>""策略指导、协助""<SEP>""领导,决策"
"""诸葛亮""","""张郃""","敌对,军事对抗"
"""诸葛亮""","""皇后人选建议""","国家治理,后继计划"
"""邓艾""","""取了江油""","征服, 战略行动"
"""邓艾""","""师纂、邓忠""","命令, 批评"
"""邓艾""","""姜维""","commander conflict, military confrontation""<SEP>9"
"""关公""","""刘备""","忠诚与情谊, 亲密战友关系"
"""关公""","""刮骨疗毒""","pain management, medical treatment"
"""关公""","""张飞""","brotherhood, commitment""<SEP>""empathy, explanation"
"""关公""","""荆州""","emotional connection, territorial claim""<SEP>""防御与关注""<SEP>8"
"""关公""","""士兵家庭""","领导关系,关怀，保护"
"""关公""","""孔明""",9
"""关公""","""玄德""",9
"""关公""","""甘、糜二夫人""",忠诚与沟通
"""孙权""","""周瑜""","invitation, assistance""<SEP>""指导、推荐""<SEP>""策略合作,忠诚关系""<SEP>""联盟,战略决策"
"""孙权""","""决策""",8
"""孙权""","""吕蒙""","loyalty, strategic execution""|>|9<SEP>""建议与接任"
"""孙权""","""陆逊""",决策与指派
"""孙权""","""东吴君主""","联盟构建,权力平衡"
"""孙权""","""孔明""","战略建议, 决策咨询"
"""孙权""","""招刘备为婿""",政治联姻、策略选择
"""孙权""","""许褚""","clash of armies, battle engagement"
"""张郃""","""三寨""","defense, conflict"
"""张郃""","""曹操""","领导与被领导关系,冲突"
"""姜维""","""献计给马遵""","strategic consultation, military wisdom"
"""姜维""","""孔明""","leadership, collaboration""<SEP>""strategic insight, talent utilization"
"""姜维""","""会合羌兵""","联盟与策略"" <|-7"
"""姜维""","""策略制定者""",策略与行动
"""刘备""","""孙策""","同时代人物,比较对比"
"""刘备""","""决策过程""",领导与决策
"""刘备""","""东吴""","alliances, strategic calculations"
"""刘备""","""曹操""","conflict of interest, territorial disputes""<SEP>""intellectual relationship"" <|<SEP>""potential conflict, rivalry""<SEP>""权力斗争, 盟友/对手关系""<SEP>""直接竞争关系,对抗策略""<SEP>""竞争和对抗关系""<SEP>""竞争对手, 势力冲突"
"""刘备""","""决策与行动""",领导决策与实际行动
"""刘备""","""面临挑战""","应对策略,危机管理"
"""刘备""","""周瑜""","政治联姻, 资源交换"
"""刘备""","""对抗曹操""",9
"""刘备""","""张飞""","对抗与合作,转变的关系,智谋""."
"""刘备""","""寻求帮助""","领导与被指导关系，求贤若渴""，等级为9"
"""刘备""","""玄德""","血缘关系, 同盟""<SEP>7<SEP>8"
"""刘备""","""忠诚""","领导力、情感"" <|-6>"
"""刘备""","""领军""","领导力,战略规划"
"""刘备""","""事件""","strategic interest, moral consideration"
"""吕布""","""曹操""&""荀彧、程昱""",5
"""吕布""","""追击""","pursuit, aggression"
"""吕布""","""计谋与行动""",策略、军事行动
"""吕布""","""玄德""","support vs rivalry, strategic cooperation"
"""吕布""","""董卓""","family relationship, political influence""<SEP>""忠诚,信任""<SEP>""权力斗争、领导与忠诚关系"
"""吕布""","""穆顺、方悦、武安国""","单人挑战,英勇无敌"
"""吕布""","""玄德""(RMBD)","conflict, accusation"
"""孔明""","""夏侯惇""","战略对抗, 战斗"
"""孔明""","""蜀兵""","command and strategy, leadership""<SEP>""领导与战术部署"
"""孔明""","""分拨已定""",10
"""孔明""","""提供策略""","战略顾问与领导者关系，知识分享""，等级为8"
"""孔明""","""决策""","领导, 策略制定"
"""孔明""","""曹操""","辩论, 战略分析"
"""孔明""","""董荼那、阿会喃""","战术部署,战略执行"
"""孔明""","""魏延""","command, successful capture""<SEP>""理解与使用人才""<SEP>""联盟, 智谋""<SEP>7"
"""孔明""","""战略规划""","智慧, 制胜策略"
"""孔明""","""周瑜""","军事竞争, 战略对抗"
"""孔明""","""玄德""","seeking advice, strategic analysis""<SEP>""strategic advisor, leadership guidance""<SEP>""信任、决策支持""<SEP>""合作伙伴关系，策略制定""<SEP>""请求指导, 智策交流""<SEP>8<SEP>9"
"""孔明""","""天气控制""",魔法、策略能力
"""孔明""","""大军""","指挥与执行,领导与追随"
"""孔明""","""策划欺诈性投降""",9
"""孔明""","""张飞""","strategy, guidance"
"""孔明""","""糜竺、糜芳、刘封""","command, organization"
"""孔明""","""策略制定""","战略思考, 决策"
"""孔明""","""平生专用火攻""",10
"""孔明""","""招安行动""","招安, 计谋, 领导"
"""董卓""","""李傕、郭汜等四人""","支持,反抗"
"""董卓""","""八路诸侯""","领土争夺,军事冲突"
"""董卓""","""张飞""",9
"""董卓""","""废立事件""","权力斗争,政治谋略"
"""董卓""","""曹操""","历史背景,事件严重性""）<SEP>""权力竞争,军事对抗"
"""曹操""","""薛兰、李封""&""赵云、玄德（刘备）""",6
"""曹操""","""孙策""","竞争关系,并提"
"""曹操""","""夜行之兵""","军事行动, 策略执行"
"""曹操""","""迁都以避之""",9
"""曹操""","""于禁与庞德""",9
"""曹操""","""夏侯渊,张郃""","loyalty, military leadership"
"""曹操""","""对抗袁绍""","军事竞争, 策略对决"
"""曹操""","""东吴,西蜀""","military confrontation, strategic planning"
"""曹操""","""周瑜""","冲突"", ""军事竞争""<SEP>""競爭、對立""<SEP>8"
"""曹操""","""领导军队""","军事领导,战争策略"
"""曹操""","""袁尚、袁谭""",领土争夺，敌对关系
"""曹操""","""东吴""",8
"""曹操""","""杨奉,韩暹""",冲突关系
"""曹操""","""许褚""","loyalty, military strategy"
"""曹操""","""决策者关系""","战略决策, 撤退"
"""曹操""","""发丘中郎将、摸金校尉""",9
"""曹操""","""兖、豫民众""",8
"""曹操""","""发起行动""",9
"""曹操""","""与杨昂、杨任""","领导,征服"
"""曹操""","""大乔""&""小乔""","权力追求,美女崇拜"
"""曹操""","""引用杜牧之词""","cultural reference, emotional expression"
"""曹操""","""八路诸侯""","联盟合作,联合抵抗"
"""曹操""","""王必与御林诸将""","抵抗, 抗衡"
"""曹操""","""邹氏""",7
"""曹操""","""关公朝见献帝""","政治联盟, 皇帝关系"
"""曹操""","""赐予绿锦战袍和美女金帛""",9
"""曹操""","""派遣军队""","侵略意图, 军事行动"
"""曹操""","""袁绍""","rivalry, conflict""<SEP>7<SEP>8"
"""曹操""","""玄德""","求助与接受援助的关系""<SEP>""警惕、试探"")<SEP>""领导与被领导者关系,冲突"" <|""9"">"
"""曹操""","""夏侯惇""","leadership, responsibility delegation"
"""曹操""","""计破马超""","军事策略, 间接对抗"
"""曹操""","""吕蒙""","strategy exchange, military action"
"""蜀兵""","""装载粮草""",运输与支援
"""蜀兵""","""陆逊""","strategy identification, insightful analysis"
"""张飞""","""糜竺、糜芳""","沟通, 寻找"
"""张飞""","""对抗者关系""","对抗, 威胁"
"""张飞""","""自杀想法""",决策、情绪反应
"""张飞""","""魏延""","团队协作, 保护盟友"
"""张飞""","""结亲邀请""","政治联盟,外交手段"
"""张飞""","""与刘备""","cooperation, shared ambition"
"""张飞""","""挑战吕布""","挑战,除贼决心"
"""张飞""","""直接战斗与合作""","战斗, 合作"
"""张飞""","""玄德""","制止暴力行为，仁慈品质""<SEP>""合作与领导力，直接作战作用""<SEP>""意见分歧, 助手角色""<SEP>""领导与信任, 关怀下属"
"""张飞""","""刘备旧将""","军事贡献,忠诚关系"
"""孙策""","""于吉被要求求雨赎罪""",9
"""孙策""","""挑战与回应""","竞争关系,个人实力"
"""孙策""","""活捉太史慈""","策略与武力结合, 抓人技巧"
"""孙策""","""活捉于糜""","军事胜利, 捕人"
"""孙策""","""吴城""","command, military operation"
"""夏侯惇""","""救援""","loyalty, rescue"
"""夏侯惇""","""推荐""","推荐,识别人才"
"""玄德""","""周都督""",冲突与竞争关系
"""玄德""","""登高瞭望""",8
"""玄德""","""阻止与指导""",情感支持、领导力
"""玄德""","""数百年历史修复者""","愿景与期望, 恢复历史"" <|"
"""玄德""","""邀请进入县衙""","尊重, 好奇心"
"""玄德""","""安喜县尉""",7
"""玄德""","""关张""","结盟,同舟共济""|>8"
"""玄德""","""魏延""",8
"""玄德""","""孙仲""",9
"""魏延""","""冷苞""","军事冲突,胜负关系"
"""魏延""","""朕""/""EMPEROR""","loyalty, leadership role"
"""陆逊""","""策略给出者""",10
"""陆逊""","""吕蒙""",推荐与接受
"""陆逊""","""挑战刘备""","防御策略,战略理解"
"""吕蒙""","""建议""",9
"""吕蒙""","""粮米""","支援,帮助"
"""袁绍""","""蒋奇军马""","派兵行动, 战败结果"
"""袁绍""","""与乌巢""","指挥, 军事决策"
"""袁绍""","""领导军队""",领导力，军事决策
"""袁绍""","""废立事件""","抵抗与逃离,个人抉择"
"""周瑜""","""决策者""",领导、验证
"""周瑜""","""庞统/","周瑜询问破曹策略并最终使用庞统提出的连环计。""|""请求与采纳""|9"
"""与""","""孔明(PRIME MINISTER)""","任命关系，分别任命为大将、参军和长史，负责军事管理、战略咨询和行政工作.""<SEP>""任命关系，派遣这些军事将领执行不同的作战任务.""<SEP>""委任关系，包括谏议大夫、尚书和祭酒等职务的任命，以扩大丞相的治理范围.""<SEP>""领导关系, 领导多个官员处理宫廷事务.""<SEP>""领导关系，丞相诸葛亮听取并考虑Chao Zhou的意见和建议."
"""正义与保护""","""蔡邕与王允""","保护,争取公正"
"""曹操与孙权""","""联盟与竞争""",6
"""抄后路行动""","""曹遵、朱赞""",execution of ambush operation
"""战略建议与反驳""","""郭图、沮授""","战略咨询与反对关系, 军事决策参与"
"""与蒋奇军队""","""作淳于琼部下""","冲突, 部队交锋"
"""医疗状况""","""吕蒙生病""",7
"""司马仪、辛毗""","""魏国将领""",7
"""与""(","""杨德祖""(",诸葛亮)
"""刘封、孟达""","""部队""","军事指挥, 决策制定"
"""CO-FEI""","""FENG YANG""","allegiance, conflict"
"""CO-FEI""","""E JUE""","alliance, conflict"
"""FENG YANG""","""YING COUNTY""","protection, strategic location"
"""FENG YANG""","""HUA JING""","alliance, strategic action"
"""合作""","""尚与审配""","联盟策略, 决策合作"
"""尚与审配""","""坚守""","战略防御, 守城责任"
"""WAN SHUAI""","""YIN HAILU""","support, event outcome"
"""孙资 (SUN ZIXIAN)""","""曹睿 (CAO RUI)""","strategic consultation, military leadership"
"""三郡总路""","""南安郡/天水郡/安定郡""","strategic passage, importance in campaign"
"""与曹嵩的关系""","""郭嘉, 满宠, 吕虔""","推荐, 寻找或保护"
"""盟友关系""","""韩遂与马超""","合作, 军事联盟"
"""决策与行动""","""姜维 ""","战略规划, 军事行动"
"""众降兵""","""刘备 """,领袖-追随者关系，军事决策
"""司马昭 ""","""弑君事件""","权力斗争, 谋杀与背叛"
"""运送粮草""","""陇西魏军""",9
"""孟达和申耽、申仪兄弟""","""策略建议""",8
"""FAMILY RELATIONSHIP""","""徐庶"" & ""母亲""",10
"""董荼那、阿会喃""","""魏延、王平、关索""","strategy implementation, capture assistance"
"""CONFLICT RESOLUTION""","""玄德与赵云""",8
"""COLLABORATION AND AGREEMENT""","""法正与孔明""",9
"""分兵两路而来""","""懿""",strategy implementation
"""懿""","""淮""",strategic dialogue
"""孔明引军在卤城打晒小麦""","""诸葛亮与军事准备活动的关系，包括耕作活动。""",command and agricultural preparation
"""《太平要术》""","""内容来源""",7
"""人物识别""","""张冀德""",身份确认
"""玄德""&""纪灵""","""玄德""与""纪灵""相互之间存在疑虑和忌惮，但为了大局暂时保持合作姿态.",7
"""张飞""&""主公""","""张飞'S LOYALTY AND OBEDIENCE TOWARDS THE MAIN CHARACTER.""",8
"""GUAN GONG'S ROLE AS A MEDIATOR BETWEEN PARTIES FOR PEACEKEEPING PURPOSES.""","""关公""&""主公""",9
"""刘熙""","""刘馥子""","family lineage, inheritance"
"""学士""","""秦宓""/""QIN MI""","advice, wisdom"
"""执行与配合""","""马岱与诸葛亮""",执行力、战术合作
"""张角, 张梁""","""许昌, 许韶""",领导权转移，权力交接
"""与刘备一行人的互动关系""","""蒋钦""&""周泰""",7
"""周都督""&""徐盛""&""丁奉""","""追击任务的领导与行动者关系""",9
"""求助关系""","""赵颜与老妇人""",7
"""诸葛亮""&""刘备一行人""","""预测与迎接关系""",10
"""测试卜算关系""","""管辂与刘邠""",8
"""COOPERATION""","""荀彧"" & ""程昱""",9
"""COOPERATION""","""大将军姜维""/""夏侯霸""","合作伙伴关系,战略配合"
"""于部下调遣""","""江油军马""",指挥与部署，战略调动
"""INTERACTION""","""曹操"" & ""徐庶的母亲""",7
"""婚姻关系""","""诸葛瞻与妻子""","婚姻联盟, 家族政治"
"""姜维与诸葛亮的合作""","""战略合作""","联盟决策, 战略协同"
"""吕凯、蒋琬""","""策略讨论""","建议与辩论,决策过程"
"""COMMANDER""","""毋丘俭""&""淮南军马""","leadership, military command"
"""ADVISOR""","""文钦""&""淮南军马""","strategic advice, advisory role"
"""文官群体""","""王朗,钟繇,王粲,陈琳""",集体行动
"""对抗""","""蜀国阵营""","军事竞争,国家对峙"
"""玄德、法正""","""策略制定""<|""玄德和法正共同策划军事行动，包括定军山战役等关键事件。",8
"""刘馥""","""扬州刺史""","leadership, political interaction"
"""CAO"" (曹)","""QU"" (QÙ)","confrontation, opposition"
"""韩遂/","韩文炳""",韩遂/韩文炳向马超提出建议以对付曹操的计划。”
"""晋主""","""王浑""","咨询与决策,建议与执行"
"""王平、张嶷、马岱、马忠、魏延""","""蜀军高级将领""",9
"""CONNECTION""","""周泰与甘宁、周瑜""","loyalty, combat assistance"
"""CONNECTION""","""瑜与吕蒙""","strategic partnership, leadership"
"""CONFLICT""","""彝陵防御与曹仁军""","defense vs. attack strategy, battle dynamics"
"""伏兵防御""","""马岱、马忠、张嶷等""",10
"""COMPARE""","""姜维""/""邓艾""","战略对决,军事智慧"
"""PERSON""","""陈氏""",7
"""策略与支援""","""赵云、张飞与孔明""","策略, 支援"
"""FRIENDSHIP""","""崔州平、石广元与艾谓望""","friendship, knowledge sharing"
